leftside,rightside,support
b,T,0.8124792013311148
u,G,0.812396006655574
C,p,0.8123128119800332
G,d,0.8123128119800332
S,v,0.812063227953411
h,G,0.8119800332778702
M,v,0.8118136439267887
S,J,0.8116472545757072
g,p,0.8114808652246256
A,P,0.8113976705490848
C,L,0.8112312811980034
B,b,0.8112312811980034
E, ,0.8108153078202995
m,v,0.8106489184692179
R,D,0.8104825291181365
e,E,0.8103161397670549
a,E,0.8101497504159734
C,b,0.8099833610648919
B,p,0.809900166389351
B,L,0.8098169717138103
g,b,0.8097337770382695
h,F,0.8095673876871881
i,E,0.809234608985025
k,L,0.8089850249584026
n,E,0.8087354409317804
f, ,0.8087354409317804
E,r,0.8086522462562395
J,B,0.8086522462562395
R,A,0.8085690515806988
E,",",0.8085690515806988
k,p,0.8085690515806988
D,L,0.8083194675540766
a,f,0.8082362728785357
f,e,0.808153078202995
F,d,0.8077371048252912
u,F,0.8076539101497504
E,o,0.8074043261231281
y,G,0.8072379367720466
J,T,0.8070715474209651
c,G,0.8069883527454242
f,",",0.8068219633943428
k,b,0.806738768718802
f,n,0.806738768718802
g,J,0.806738768718802
p,D,0.8066555740432613
l,E,0.8066555740432613
f,o,0.8065723793677204
i,f,0.8065723793677204
f,r,0.8063227953410982
v,T,0.8063227953410982
J,k,0.8062396006655574
s,E,0.8060732113144758
B,v,0.8058236272878536
A,L,0.8057404326123128
g,v,0.8055740432612313
s,f,0.8054076539101498
C,J,0.8051580698835274
t,E,0.8051580698835274
b,D,0.804991680532446
c,F,0.8048252911813644
f,t,0.8044093178036605
f,l,0.8043261231281198
D,v,0.804242928452579
C,v,0.804242928452579
m,G,0.8038269550748752
R,P,0.8038269550748752
y,F,0.8031613976705491
b,A,0.802495840266223
K, ,0.8021630615640599
A,p,0.8020798668885192
P,p,0.8017470881863561
e,K,0.801414309484193
S,G,0.8013311148086523
P,L,0.8012479201331115
M,G,0.8010815307820299
J,D,0.8009151414309484
k,v,0.8007487520798668
i,K,0.8005823627287854
K,",",0.8005823627287854
a,K,0.8005823627287854
b,P,0.8002495840266223
A,v,0.8001663893510815
h,E,0.8000831946755408
J,A,0.8000831946755408
u,E,0.7998336106489184
E,d,0.799667221297837
m,F,0.799667221297837
n,K,0.7995008319467554
f,u,0.7994176372712146
g,G,0.7990848585690515
K,r,0.7990848585690515
f,h,0.798585690515807
f,d,0.7979201331114809
K,l,0.7978369384359401
K,o,0.7978369384359401
s,K,0.7976705490848586
M,F,0.7972545757071547
R,b,0.797171381031614
t,K,0.7970881863560733
S,F,0.7967554076539102
R,L,0.7965890183028286
R,p,0.7963394342762063
w, ,0.7963394342762063
G,T,0.7962562396006656
B,G,0.7960066555740433
c,E,0.7956738768718802
w,e,0.7956738768718802
a,w,0.7956738768718802
w,o,0.7951747088186356
g,F,0.7951747088186356
n,w,0.7950915141430949
F,T,0.7950083194675541
i,w,0.7947587354409318
C,G,0.794675540765391
m,E,0.794675540765391
w,r,0.7944259567387687
w,",",0.7941763727121465
H, ,0.7940931780366056
h,K,0.7939267886855241
H,e,0.7936772046589018
a,H,0.793261231281198
c,f,0.793261231281198
H,n,0.793261231281198
J,P,0.7930116472545757
k,G,0.7930116472545757
i,H,0.7928452579034941
s,w,0.7927620632279534
H,",",0.7927620632279534
y,E,0.7926788685524127
w,l,0.7925956738768719
H,r,0.7925956738768719
t,w,0.7925124792013312
S,f,0.7924292845257903
B,F,0.7921797004991681
m,f,0.7920965058236273
J,R,0.7919301164725457
P,v,0.7919301164725457
b,L,0.7916805324459235
D,G,0.7916805324459235
H,o,0.7915973377703827
s,H,0.7915141430948419
p,L,0.7912645590682197
f,y,0.7911813643926788
S,E,0.7909317803660566
H,l,0.7909317803660566
M,E,0.790765391014975
K,d,0.7906821963394343
b,p,0.7905990016638935
u,K,0.7901830282861897
k,F,0.7896006655574044
C,F,0.789351081530782
J,L,0.7891846921797006
f,M,0.7891846921797006
H,t,0.7887687188019967
y,K,0.7884359400998336
A,G,0.7884359400998336
w,d,0.7881863560732113
D,F,0.7881863560732113
h,w,0.7881031613976706
R,v,0.7879367720465891
J,b,0.7871048252911813
g,E,0.7870216306156406
J,p,0.7866888519134775
v,L,0.7866056572379367
p,v,0.786522462562396
N, ,0.7862728785357737
H,h,0.7861064891846922
c,K,0.7859400998336107
a,N,0.7856073211314476
A,F,0.7855241264559069
f,T,0.7852745424292845
N,e,0.785108153078203
E,T,0.785108153078203
P,G,0.7848585690515807
N,o,0.78477537437604
u,w,0.7846089850249583
N,n,0.7845257903494176
H,d,0.7845257903494176
B,E,0.7843594009983361
N,",",0.7842762063227954
m,K,0.7841098169717138
C,E,0.784026622296173
b,v,0.784026622296173
N,i,0.7837770382695507
g,f,0.7836106489184692
H,u,0.7836106489184692
O, ,0.7831114808652246
y,w,0.782945091514143
f,k,0.7828618968386023
N,r,0.7827787021630616
s,N,0.7825291181364392
e,O,0.7823627287853577
a,O,0.782279534109817
P,F,0.7817803660565724
k,E,0.7816139767054908
i,O,0.7816139767054908
",",O,0.7814475873544093
N,l,0.7813643926788686
n,O,0.7813643926788686
J,v,0.7813643926788686
C,f,0.7812811980033277
f,B,0.781198003327787
c,w,0.781198003327787
S,K,0.7811148086522463
c,H,0.7811148086522463
O,r,0.7810316139767055
R,G,0.7808652246256239
N,t,0.7808652246256239
K,T,0.7807820299500832
f,D,0.7806156405990017
m,w,0.7806156405990017
H,y,0.7806156405990017
M,K,0.7805324459234609
O,o,0.7805324459234609
G,L,0.7804492512479201
s,O,0.7803660565723793
S,w,0.7801164725457571
g,K,0.7799500831946755
R,F,0.779783693843594
k,K,0.7797004991680533
m,H,0.7795341098169717
W, ,0.7792845257903495
t,O,0.7792845257903495
p,G,0.7791181364392679
W,e,0.7790349417637271
l,O,0.7790349417637271
A,E,0.7790349417637271
D,E,0.778702163061564
a,W,0.7786189683860233
M,w,0.7785357737104825
B,K,0.7782861896838602
N,h,0.7778702163061564
W,",",0.7778702163061564
i,W,0.7778702163061564
w,T,0.7777870216306156
b,G,0.7777038269550749
n,W,0.7776206322795342
W,r,0.7775374376039933
N,u,0.7772878535773711
C,K,0.776955074875208
H,M,0.776955074875208
N,d,0.7768718801996672
f,A,0.7767054908485856
s,W,0.7765391014975042
S,H,0.7763727121464227
W,o,0.7763727121464227
W,l,0.7762895174708818
F,L,0.7760399334442596
p,F,0.7759567387687188
t,W,0.7754575707154742
c,N,0.7752911813643927
h,O,0.7749584026622296
J,G,0.7747088186356074
G,v,0.7747088186356074
d,O,0.7743760399334443
h,W,0.7743760399334443
f,P,0.7742096505823627
B,w,0.7741264559068219
u,O,0.7735440931780366
c,O,0.7735440931780366
H,T,0.7731281198003328
P,E,0.7727953410981697
b,F,0.7727953410981697
g,H,0.772712146422629
k,w,0.7726289517470882
C,H,0.7724625623960066
g,w,0.7724625623960066
C,w,0.7724625623960066
R,E,0.7719633943427621
K,D,0.7717138103161397
H,B,0.771630615640599
w,D,0.7713810316139768
F,v,0.7712978369384359
H,k,0.7711314475873544
N,y,0.7709650582362729
m,N,0.7709650582362729
p,E,0.7707154742096506
E,L,0.7707154742096506
W,d,0.7704658901830282
f,R,0.7701331114808653
S,N,0.7696339434276206
A,K,0.7696339434276206
u,W,0.7695507487520798
y,O,0.7695507487520798
N,M,0.7695507487520798
J,F,0.7693843594009984
m,O,0.7688019966722129
y,W,0.7688019966722129
f,p,0.7685524126455907
M,O,0.7676372712146423
f,L,0.7675540765391015
N,T,0.7670549084858569
c,W,0.7668053244592347
H,D,0.7665557404326123
S,O,0.7661397670549085
m,W,0.7660565723793678
N,g,0.7655574043261232
O,T,0.7653910149750416
z, ,0.7652246256239601
b,E,0.7652246256239601
z,e,0.7651414309484194
a,z,0.7650582362728785
v,E,0.7647254575707155
P,K,0.7643926788685524
z,n,0.7643926788685524
z,r,0.7642262895174708
A,w,0.7642262895174708
i,z,0.7641430948419301
f,b,0.7641430948419301
z,o,0.7640599001663894
N,k,0.7638935108153079
z,",",0.7638935108153079
K,L,0.7638935108153079
g,O,0.7636439267886855
N,B,0.763477537437604
G,F,0.763144758735441
H,A,0.763144758735441
S,W,0.7629783693843594
R,K,0.7628951747088186
J,E,0.7625623960066555
f,v,0.762396006655574
W,T,0.7623128119800333
z,l,0.7622296173044925
C,N,0.7618968386023295
B,O,0.7618136439267886
M,W,0.7615640599001664
H,P,0.7615640599001664
C,O,0.760981697171381
s,z,0.7607321131447587
J,f,0.7607321131447587
R,w,0.7605657237936772
N,D,0.7604825291181364
p,K,0.7603161397670549
N,A,0.7598169717138104
H,R,0.7597337770382695
z,t,0.7597337770382695
g,W,0.7596505823627288
J,K,0.7594009983361065
P,w,0.7593178036605657
k,W,0.7590682196339434
H,p,0.7587354409317804
k,O,0.7586522462562396
B,W,0.7582362728785358
b,K,0.7580698835274542
D,O,0.7579866888519134
p,w,0.7579866888519134
A,O,0.7576539101497504
G,E,0.7575707154742096
C,W,0.7574043261231281
z,d,0.7569883527454243
f,G,0.7565723793677205
w,L,0.7565723793677205
z,h,0.7561564059900167
u,z,0.7561564059900167
H,v,0.7557404326123128
